Statement 1	Response	Next Response	Next Response
Where are you located?	Our headquarters are in Aurora Ontario		
Where are your offices?	Our headquarters are in Aurora Ontario		
Location	Our headquarters are in Aurora Ontario		
"How can I stay compliant with the requirements of state and federal laws, while saving time & money?"	"HR.com offers our Ambassador program to help HR professionals stay informed of ever changing labour laws and requirements while also saving money on HR resources provide by some of the top companies in the HR field. You would also gain access to our LEAD conference, that your can broadcast at our place of work to inspire people to reach for greatness. Plus you get many more benefits. The content in the Ambassador program is worth over $3000 if bought separately, but can be yours for less than $190."		
Tell me about your ambassador program	"HR.com offers our Ambassador program to help HR professionals stay informed of ever changing labour laws and requirements while also saving money on HR resources provide by some of the top companies in the HR field. You would also gain access to our LEAD conference, that your can broadcast at our place of work to inspire people to reach for greatness. Plus you get many more benefits. The content in the Ambassador program is worth over $3000 if bought separately, but can be yours for less than $190."		
What is your Ambassador Program?	"HR.com offers our Ambassador program to help HR professionals stay informed of ever changing labour laws and requirements while also saving money on HR resources provide by some of the top companies in the HR field. You would also gain access to our LEAD conference, that your can broadcast at our place of work to inspire people to reach for greatness. Plus you get many more benefits. The content in the Ambassador program is worth over $3000 if bought separately, but can be yours for less than $190."		
Do you have an Affiliate Program?	"We have an affiliate program, and it is free to join. All you need is a free HR.com account. You can earn money is various ways by having people buy our products and services, such as the Certification Preparation Course, HR Genius, and more. We have preformatted emails that you can use and images to create banners. Have something else in mind; you just need to make sure you use your personalised affiliate code. There is no limit to how much you can earn. Are you an affiliate marketer? That is ok too.  For more info take a look at: Take a look at: http://web.hr.com/2swiu.
"		
Do you have an Affiliate Program?	"We have an affiliate program, and it is free to join. All you need is a free HR.com account. You can earn money is various ways by having people buy our products and services, such as the Certification Preparation Course, HR Genius, and more. We have preformatted emails that you can use and images to create banners. Have something else in mind; you just need to make sure you use your personalised affiliate code. There is no limit to how much you can earn. Are you an affiliate marketer? That is ok too.  For more info take a look at: Take a look at: http://web.hr.com/2swiu.
"		
Tell me about your Affiliate Program	"We have an affiliate program, and it is free to join. All you need is a free HR.com account. You can earn money is various ways by having people buy our products and services, such as the Certification Preparation Course, HR Genius, and more. We have preformatted emails that you can use and images to create banners. Have something else in mind; you just need to make sure you use your personalised affiliate code. There is no limit to how much you can earn. Are you an affiliate marketer? That is ok too.  For more info visit: http://web.hr.com/2swiu
"		
Can I earn money by helping with marketing?	"We have an affiliate program, and it is free to join. All you need is a free HR.com account. You can earn money is various ways by having people buy our products and services, such as the Certification Preparation Course, HR Genius, and more. We have preformatted emails that you can use and images to create banners. Have something else in mind; you just need to make sure you use your personalised affiliate code. There is no limit to how much you can earn. Are you an affiliate marketer? That is ok too.  For more info visit: http://web.hr.com/2swiu
"		
Can I help you advertise?	"We have an affiliate program, and it is free to join. All you need is a free HR.com account. You can earn money is various ways by having people buy our products and services, such as the Certification Preparation Course, HR Genius, and more. We have preformatted emails that you can use and images to create banners. Have something else in mind; you just need to make sure you use your personalised affiliate code. There is no limit to how much you can earn. Are you an affiliate marketer? That is ok too.  For more info visit: http://web.hr.com/2swiu
"		
Where Do I Sign Up to Become a Member of HR.com?	Look at the top right of the screen and click on the green register button.		
How can I register?	Look at the top right of the screen and click on the green register button.		
I would like to join	Look at the top right of the screen and click on the green register button.		
What is a Personal HR Space URL?	"When you register with HR.com or when you update your profile, you can choose a name for your personal hr space url. It looks like this: www.hr.com/members/putyournamehere."		
Custom URL	"When you register with HR.com or when you update your profile, you can choose a name for your personal hr space url. It looks like this: www.hr.com/members/putyournamehere."		
Personal Web Address	"When you register with HR.com or when you update your profile, you can choose a name for your personal hr space url. It looks like this: www.hr.com/members/putyournamehere."		
Do I have to be a member of HR.com to contribute articles to the site?	"You can contribute articles if you are not a member, but if you want to have a proper bio show up onsite with your article and you would like to post your article or blog right away, we highly recommend that you become a member."		
I want to add articles but I am not a member	"You can contribute articles if you are not a member, but if you want to have a proper bio show up onsite with your article and you would like to post your article or blog right away, we highly recommend that you become a member."		
I want to know about registration	Why don't you check out our registration FAQ: https://www.hr.com/en/about_us/faq/registration_gzr0v6uj.html		
I have a question about registration	Why don't you check out our registration FAQ: https://www.hr.com/en/about_us/faq/registration_gzr0v6uj.html		
Does HR.com have a Certification Program?	HR.com is proud to present its IHR Certification and Workshop Program. The Institute for Human Resources (IHR) provides certification and accreditation to industry professionals along particular HR verticals or domains. See our IHR Certification menu for more details.		
I would like to become certified	HR.com is proud to present its IHR Certification and Workshop Program. The Institute for Human Resources (IHR) provides certification and accreditation to industry professionals along particular HR verticals or domains. See our IHR Certification menu for more details.		
Accreditation	HR.com is proud to present its IHR Certification and Workshop Program. The Institute for Human Resources (IHR) provides certification and accreditation to industry professionals along particular HR verticals or domains. See our IHR Certification menu for more details.		
